run_id,ticker,analysis_date,knot_strategy,lambda_val,penalty_order,knot_density_key,degree_key,filter_key,n_knots_x,n_knots_y,degree_x,degree_y,filter_min_vol,filter_spread_rel,filter_min_ttm,iv_mae,iv_rmse,iv_median_ae,iv_std_err,iv_min_abs_err,iv_max_abs_err,price_mae,price_rmse,price_median_ae,price_std_err,price_min_abs_err,price_max_abs_err,spline_solver_iterations,spline_solver_status,avg_iv_iterations,iv_success_rate,computation_time,final_data_points,status
AAPL_uniform_L0.00e+00_Pen2_medium_cubic,AAPL,2025-05-02,uniform,0.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.096216,0.130888,0.065479,0.09186,0.001092,0.669165,0.721207,3.044484,0.044007,2.97699,0.0,21.6,962,2,4.65812,0.862408,0.48865,351,Success
AAPL_uniform_L1.00e-04_Pen2_medium_cubic,AAPL,2025-05-02,uniform,0.0001,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.096253,0.130408,0.064723,0.091173,0.000367,0.629848,0.734941,3.044759,0.06483,2.977076,5.8e-05,21.6,350,2,4.65812,0.862408,0.393696,351,Success
AAPL_uniform_L1.00e-03_Pen2_medium_cubic,AAPL,2025-05-02,uniform,0.001,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.09605,0.130192,0.064187,0.090862,0.001519,0.625122,0.742081,3.045083,0.073717,2.97746,0.000317,21.6,224,2,4.65812,0.862408,0.387295,351,Success
AAPL_uniform_L1.00e-02_Pen2_medium_cubic,AAPL,2025-05-02,uniform,0.01,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.095412,0.12951,0.063442,0.089879,0.001233,0.598413,0.758404,3.050807,0.059923,2.986837,6.6e-05,21.6,125,2,4.65812,0.862408,0.383708,351,Success
AAPL_uniform_L1.00e-01_Pen2_medium_cubic,AAPL,2025-05-02,uniform,0.1,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.09595,0.132713,0.05973,0.094449,0.000607,0.599134,0.938419,3.151872,0.117863,3.111815,8e-05,21.6,82,2,4.65812,0.862408,0.383787,351,Success
AAPL_uniform_L5.00e-01_Pen2_medium_cubic,AAPL,2025-05-02,uniform,0.5,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.099122,0.142889,0.061386,0.10832,0.000198,0.663914,1.195196,3.307328,0.215879,3.297167,3.4e-05,21.6,87,2,4.65812,0.862408,0.384051,351,Success
AAPL_uniform_L1.00e+00_Pen2_medium_cubic,AAPL,2025-05-02,uniform,1.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.102833,0.149294,0.06219,0.116662,0.001252,0.699974,1.293417,3.351909,0.273077,3.351427,0.000506,21.6,96,2,4.65812,0.862408,0.38275,351,Success
AAPL_uniform_L2.50e+00_Pen2_medium_cubic,AAPL,2025-05-02,uniform,2.5,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.1082,0.15814,0.070561,0.127818,7.9e-05,0.765019,1.391264,3.371137,0.269309,3.375907,0.001128,21.6,114,2,4.65812,0.862408,0.441546,351,Success
AAPL_uniform_L5.00e+00_Pen2_medium_cubic,AAPL,2025-05-02,uniform,5.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.111318,0.164168,0.071644,0.135224,1.2e-05,0.798294,1.464717,3.374264,0.34696,3.377657,7e-05,21.6,122,2,4.65812,0.862408,0.410999,351,Success
AAPL_uniform_L1.00e+01_Pen2_medium_cubic,AAPL,2025-05-02,uniform,10.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.113528,0.169219,0.071192,0.141332,0.000403,0.817479,1.54534,3.382553,0.482298,3.382004,0.002061,21.6,125,2,4.65812,0.862408,0.385633,351,Success
AAPL_uniform_L1.50e+01_Pen2_medium_cubic,AAPL,2025-05-02,uniform,15.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.114607,0.171704,0.070148,0.144305,0.000369,0.824311,1.585848,3.390758,0.598124,3.387518,0.00029,21.6,126,2,4.65812,0.862408,0.383809,351,Success
AAPL_uniform_L2.00e+01_Pen2_medium_cubic,AAPL,2025-05-02,uniform,20.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.115287,0.173256,0.068076,0.146154,0.000399,0.827821,1.611521,3.397738,0.652779,3.392614,0.000458,21.6,126,2,4.65812,0.862408,0.384481,351,Success
MSFT_uniform_L0.00e+00_Pen2_medium_cubic,MSFT,2025-05-02,uniform,0.0,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.048171,0.093496,0.019307,0.087562,0.000329,0.556531,0.155088,1.078975,0.010112,1.077661,0.0,11.6,862,2,4.588235,0.991667,0.252975,119,Success
MSFT_uniform_L1.00e-04_Pen2_medium_cubic,MSFT,2025-05-02,uniform,0.0001,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.048489,0.093767,0.021275,0.087855,0.000248,0.558544,0.169968,1.077994,0.025256,1.076439,0.000141,11.6,284,2,4.588235,0.991667,0.172841,119,Success
MSFT_uniform_L1.00e-03_Pen2_medium_cubic,MSFT,2025-05-02,uniform,0.001,2,medium,cubic,medium,8,5,3,3,3,0.3,0.01,0.048797,0.094284,0.021797,0.088411,0.000651,0.558159,0.187475,1.08371,0.027756,1.082566,1.5e-05,11.6,165,2,4.588235,0.991667,0.167541,119,Success
